Member_id,Gender,Age,Age_range,Province
1,Female,31,31-40,Sichuan
2,Female,32,31-40,Sichuan
3,Female,31,31-40,Sichuan
4,Female,35,31-40,Sichuan
5,Female,38,31-40,Beijing
6,Female,38,31-40,Beijing
7,Female,38,31-40,Guangdong
8,Female,40,31-40,Guangdong
9,Female,33,31-40,Shanghai
10,Female,33,31-40,Shanghai
11,Female,33,31-40,Shanghai
12,Female,33,31-40,Beijing
13,Female,35,31-40,Beijing
14,Female,36,31-40,Yunnan
15,Female,33,31-40,Yunnan
16,Female,35,31-40,Shanghai
17,Female,36,31-40,Shanghai
18,Female,31,31-40,Shanghai
19,Female,32,31-40,Shanghai
20,Female,31,31-40,Yunnan
21,Female,35,31-40,Yunnan
22,Female,37,31-40,Ningxia
23,Female,31,31-40,Ningxia
24,Female,38,31-40,Chongqing
25,Female,36,31-40,Shanghai
26,Female,41,41-60,Shanghai
27,Female,41,41-60,Shanghai
28,Female,44,41-60,Sichuan
29,Female,46,41-60,Sichuan
30,Female,45,41-60,Shanghai
31,Female,47,41-60,Shanghai
32,Female,47,41-60,Shanghai
33,Female,48,41-60,Shanghai
34,Female,58,41-60,Shanghai
35,Female,55,41-60,Beijing
36,Female,57,41-60,Beijing
37,Female,60,41-60,Ningxia
38,Female,57,41-60,Chongqing
39,Female,51,41-60,Sichuan
40,Female,59,41-60,Sichuan
41,Female,48,41-60,Sichuan
42,Female,46,41-60,Sichuan
43,Female,44,41-60,Zhejiang
44,Female,49,41-60,Sichuan
45,Female,50,41-60,Sichuan
46,Female,50,41-60,Sichuan
47,Female,26,20-30,Chongqing
48,Female,25,20-30,Shanghai
49,Female,30,20-30,Shanghai
50,Female,28,20-30,Shanghai
51,Female,29,20-30,Shanghai
52,Female,21,20-30,Shanghai
53,Female,29,20-30,Guangdong
54,Female,30,20-30,Guangdong
55,Female,30,20-30,Chongqing
56,Female,64,over 60,Shanghai
57,Male,36,31-40,Shanghai
58,Male,31,31-40,Shanghai
59,Male,32,31-40,Shanghai
60,Male,31,31-40,Yunnan
61,Male,35,31-40,Yunnan
62,Male,37,31-40,Zhejiang
63,Male,31,31-40,Sichuan
64,Male,38,31-40,Sichuan
65,Male,36,31-40,Sichuan
66,Male,40,31-40,Sichuan
67,Male,35,31-40,Sichuan
68,Male,35,31-40,Beijing
69,Male,35,31-40,Beijing
70,Male,34,31-40,Zhejiang
71,Male,39,31-40,Xizang
72,Male,47,41-60,Shanghai
73,Male,48,41-60,Shanghai
74,Male,58,41-60,Shanghai
75,Male,55,41-60,Shanghai
76,Male,53,41-60,Shanghai
77,Male,57,41-60,Shanghai
78,Male,60,41-60,Shanghai
79,Male,58,41-60,Shanghai
80,Male,44,41-60,Xizang
81,Male,58,41-60,Ningxia
82,Male,18,under 20,Sichuan
83,Male,69,over 60,Sichuan
84,Male,73,over 60,Sichuan
85,Male,25,20-30,Sichuan
86,Male,24,20-30,Sichuan
87,Male,23,20-30,Sichuan
88,Male,27,20-30,Sichuan
89,Male,25,20-30,Sichuan
90,Male,27,20-30,Sichuan
91,Male,29,20-30,Guangdong
92,Male,30,20-30,Guangdong
93,Male,23,20-30,Guangdong
94,Male,27,20-30,Jiangsu
95,Male,25,20-30,Qinghai
96,Male,27,20-30,Heilongjiang
97,Male,29,20-30,Qinghai
98,Male,30,20-30,Shanghai
99,Male,30,20-30,Shanghai
100,Male,29,20-30,Ningxia